,booth,total_ridership_Monday,total_ridership_Tuesday,total_ridership_Wednesday,total_ridership_Thursday,total_ridership_Friday,total_ridership_Saturday,total_ridership_Sunday
735,WINTHROP ST_R637,5183.282051282052,5248.923076923077,5265.2307692307695,5241.4358974358975,5467.974358974359,3905.4871794871797,2884.641025641026
736,WOODHAVEN BLVD_J031,5269.384615384615,5470.846153846154,5539.153846153846,5584.589743589743,5478.615384615385,2161.2051282051284,1528.6666666666667
737,WOODHAVEN BLVD_J032,1633.6153846153845,1729.1538461538462,1748.025641025641,1780.2307692307693,1727.7179487179487,586.0769230769231,405.84615384615387
738,WOODHAVEN BLVD_N329,7803.4358974358975,8093.666666666667,8272.897435897436,8562.538461538461,8613.71794871795,11047.128205128205,10697.97435897436
739,WOODHAVEN BLVD_N329A,2114.2820512820513,2065.4358974358975,2096.4615384615386,1894.4358974358975,2033.3333333333333,3659.923076923077,3090.641025641026
740,WOODLAWN_R294,7472.692307692308,7632.4358974358975,7759.846153846154,7688.948717948718,7650.948717948718,5209.897435897436,3967.846153846154
741,WORLD TRADE CTR_N094,14290.666666666666,15168.923076923076,15197.76923076923,15487.435897435897,16154.897435897436,13480.128205128205,10897.641025641025
742,WTC-CORTLANDT_R106,0.3076923076923077,1.0769230769230769,2.3846153846153846,1.4615384615384615,6.3076923076923075,0.6153846153846154,0.9230769230769231
743,WTC-CORTLANDT_R107,3711.0,4029.076923076923,3825.076923076923,3922.6923076923076,4037.153846153846,3248.230769230769,2461.5384615384614
744,WTC-CORTLANDT_R107D,8133.384615384615,8865.76923076923,9082.76923076923,9107.615384615385,9192.23076923077,4169.384615384615,3035.3076923076924
745,WTC-CORTLANDT_R108,2640.3846153846152,2822.846153846154,2741.0,2882.0,2986.4615384615386,2346.4615384615386,1760.2307692307693
746,WTC-CORTLANDT_R108A,2298.923076923077,2365.5384615384614,2398.5384615384614,2448.0,2629.4615384615386,983.2307692307693,719.8461538461538
747,WTC-CORTLANDT_R109,2228.3076923076924,2335.153846153846,2260.153846153846,2367.3846153846152,2158.0,703.8461538461538,485.61538461538464
748,YORK ST_N530,2551.871794871795,2546.3333333333335,2697.5384615384614,2729.4358974358975,2826.897435897436,3494.076923076923,3407.6153846153848
749,ZEREGA AV_R419,4775.74358974359,4515.4358974358975,4641.717948717948,4689.25641025641,4940.589743589743,2647.3333333333335,2080.4102564102564
750,PATH WTC_PTH08,,,,0.0,,,
